year,quarter,month,day_of_month,day_of_week,fl_date,op_unique_carrier,tail_num,op_carrier_fl_num,origin,dest,crs_dep_time,dep_time,dep_delay,dep_delay_new,taxi_out,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,source_file,route,dep_hour,block_time_error,underblocked,late_arrival,is_weekend
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N713UW,1631,DCA,MCI,730,716.0,-14.0,0.0,11.0,8.0,915,837.0,-38.0,0.0,0.0,0.0,0.0,165.0,141.0,122.0,949.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-MCI,7,-24.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N713UW,1631,MCI,DCA,1028,1021.0,-7.0,0.0,19.0,11.0,1354,1357.0,3.0,3.0,0.0,0.0,0.0,146.0,156.0,126.0,949.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,MCI-DCA,10,10.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N713UW,2816,DCA,JAX,1954,2013.0,19.0,19.0,14.0,10.0,2200,2210.0,10.0,10.0,0.0,0.0,0.0,126.0,117.0,93.0,634.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-JAX,19,-9.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N713UW,2884,DCA,PWM,1454,1445.0,-9.0,0.0,15.0,4.0,1634,1616.0,-18.0,0.0,0.0,0.0,0.0,100.0,91.0,72.0,482.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-PWM,14,-9.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N713UW,2884,PWM,DCA,1720,1708.0,-12.0,0.0,14.0,3.0,1905,1848.0,-17.0,0.0,0.0,0.0,0.0,105.0,100.0,83.0,482.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,PWM-DCA,17,-5.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N714US,3013,DCA,ATL,1955,1946.0,-9.0,0.0,18.0,8.0,2152,2126.0,-26.0,0.0,0.0,0.0,0.0,117.0,100.0,74.0,547.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-ATL,19,-17.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N714US,639,PIT,DCA,1024,1017.0,-7.0,0.0,13.0,6.0,1129,1120.0,-9.0,0.0,0.0,0.0,0.0,65.0,63.0,44.0,204.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,PIT-DCA,10,-2.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N716UW,1463,JAX,DCA,1905,1900.0,-5.0,0.0,19.0,3.0,2100,2050.0,-10.0,0.0,0.0,0.0,0.0,115.0,110.0,88.0,634.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,JAX-DCA,19,-5.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N716UW,2903,DCA,ORD,2245,2248.0,3.0,3.0,12.0,14.0,2348,2347.0,-1.0,0.0,0.0,0.0,0.0,123.0,119.0,93.0,612.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-ORD,22,-4.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N721UW,639,DCA,PIT,820,814.0,-6.0,0.0,13.0,6.0,944,910.0,-34.0,0.0,0.0,0.0,0.0,84.0,56.0,37.0,204.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-PIT,8,-28.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N725UW,1852,DCA,BOS,600,547.0,-13.0,0.0,11.0,16.0,739,715.0,-24.0,0.0,0.0,0.0,0.0,99.0,88.0,61.0,399.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-BOS,6,-11.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N725UW,2882,DCA,BOS,1049,1042.0,-7.0,0.0,18.0,14.0,1222,1216.0,-6.0,0.0,0.0,0.0,0.0,93.0,94.0,62.0,399.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-BOS,10,1.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N725UW,3277,BOS,DCA,819,808.0,-11.0,0.0,18.0,3.0,1001,943.0,-18.0,0.0,0.0,0.0,0.0,102.0,95.0,74.0,399.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,BOS-DCA,8,-7.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N738US,1200,DCA,ORD,959,1018.0,19.0,19.0,19.0,19.0,1106,1123.0,17.0,17.0,1.0,0.0,0.0,127.0,125.0,87.0,612.0,17.0,0.0,0.0,0.0,0.0,T_ONTIME_REPORTING OCT 2025.csv,DCA-ORD,9,-2.0,0,1,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N738US,949,JAX,DCA,714,659.0,-15.0,0.0,13.0,18.0,910,852.0,-18.0,0.0,0.0,0.0,0.0,116.0,113.0,82.0,634.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,JAX-DCA,7,-3.0,0,0,0
